max 94, min 6, split 53, vert False 
max 26, min 6, split 6, vert True 
max 52, min 6, split 43, vert True 
max 49, min 6, split 27, vert False 
max 49, min 6, split 36, vert False 
max 7, min 6, split 6, vert True 
max 29, min 6, split 7, vert False 
max 26, min 6, split 16, vert True 
max 16, min 6, split 11, vert False 
max 62, min 6, split 25, vert True 
max 62, min 6, split 21, vert True 
max 49, min 6, split 8, vert True 
max 13, min 6, split 8, vert True 
max 20, min 6, split 12, vert True 
max 20, min 6, split 19, vert True 
max 42, min 6, split 35, vert True 
max 42, min 6, split 12, vert True 
max 7, min 6, split 6, vert False 
max 30, min 6, split 18, vert True 
max 41, min 6, split 7, vert False 
max 41, min 6, split 14, vert False 
max 41, min 6, split 24, vert False 
max 41, min 6, split 21, vert False 
max 12, min 6, split 6, vert True 
max 76, min 6, split 40, vert False 
max 76, min 6, split 22, vert True 
max 76, min 6, split 60, vert True 
max 47, min 6, split 9, vert True 
max 41, min 6, split 19, vert True 
max 31, min 6, split 7, vert False 
max 80, min 6, split 38, vert True 
max 32, min 6, split 13, vert True 
max 41, min 6, split 18, vert False 
max 19, min 6, split 11, vert True 
max 41, min 6, split 10, vert False 
max 65, min 6, split 60, vert True 
max 39, min 6, split 11, vert False 
max 32, min 6, split 13, vert False 
max 1, min 6, split 4, vert True 
max 49, min 6, split 16, vert False 
max 49, min 6, split 10, vert True 
max 24, min 6, split 21, vert True 
max 49, min 6, split 11, vert False 
max 29, min 6, split 26, vert False 
max 20, min 6, split 8, vert True 
max 62, min 6, split 33, vert True 
max 62, min 6, split 8, vert True 
max 23, min 6, split 20, vert True 
max 12, min 6, split 8, vert False 
max 21, min 6, split 10, vert True 
max 21, min 6, split 19, vert True 
max 16, min 6, split 6, vert True 
max 20, min 6, split 8, vert True 
max 2, min 6, split 3, vert True 
max 34, min 6, split 22, vert True 
max 24, min 6, split 15, vert True 
max 41, min 6, split 25, vert False 
max 7, min 6, split 6, vert True 
max 30, min 6, split 21, vert False 
max 2, min 6, split 6, vert False 
max 5, min 6, split 6, vert True 
max 22, min 6, split 12, vert False 
max 56, min 6, split 32, vert True 
max 38, min 6, split 17, vert False 
max 36, min 6, split 34, vert True 
max 13, min 6, split 10, vert True 
max 75, min 6, split 55, vert True 
max 30, min 6, split 23, vert False 
max 16, min 6, split 13, vert True 
max 12, min 6, split 9, vert True 
max 12, min 6, split 7, vert True 
max 20, min 6, split 7, vert False 
max 21, min 6, split 13, vert False 
max 22, min 6, split 7, vert True 
max 47, min 6, split 12, vert False 
max 13, min 6, split 6, vert True 
max 25, min 6, split 20, vert False 
max 30, min 6, split 6, vert False 
max 5, min 6, split 6, vert False 
max 43, min 6, split 29, vert True 
max 14, min 6, split 10, vert False 
max 21, min 6, split 14, vert False 
max 21, min 6, split 17, vert False 
max 4, min 6, split 5, vert True 
max 20, min 6, split 15, vert False 
max 39, min 6, split 37, vert False 
max 18, min 6, split 13, vert True 
max 22, min 6, split 19, vert False 
max 49, min 6, split 38, vert True 
max 50, min 6, split 41, vert True 
max 39, min 6, split 36, vert False 
max 25, min 6, split 11, vert True 
max 25, min 6, split 10, vert True 
max 19, min 6, split 12, vert False 
max 7, min 6, split 6, vert True 
max 21, min 6, split 16, vert False 
max 2, min 6, split 6, vert False 
max 11, min 6, split 9, vert True 
max 23, min 6, split 9, vert False 
max 50, min 6, split 16, vert True 
max 50, min 6, split 21, vert True 
max 5, min 6, split 6, vert False 
max 18, min 6, split 7, vert False 
max 5, min 6, split 6, vert True 
max 10, min 6, split 8, vert True 
max 20, min 6, split 11, vert True 
max 12, min 6, split 6, vert False 
max 5, min 6, split 6, vert False 
max 10, min 6, split 8, vert True 
max 4, min 6, split 6, vert True 
max 6, min 6, split 6, vert False 
max 14, min 6, split 7, vert True 
max 19, min 6, split 15, vert False 
max 3, min 6, split 4, vert False 
max 28, min 6, split 14, vert True 
max 13, min 6, split 7, vert True 
max 1, min 6, split 3, vert True 
max 3, min 6, split 5, vert True 
max 7, min 6, split 6, vert True 
max 11, min 6, split 7, vert False 
max 24, min 6, split 9, vert False 
max 12, min 6, split 7, vert False 
max 23, min 6, split 16, vert False 
max 30, min 6, split 22, vert False 
max 14, min 6, split 7, vert True 
max 27, min 6, split 7, vert False 
max 80, min 6, split 35, vert True 
max 94, min 6, split 62, vert True 
max 94, min 6, split 14, vert True 
max 30, min 6, split 25, vert True 
max 30, min 6, split 8, vert True 
max 47, min 6, split 32, vert False 
max 47, min 6, split 9, vert False 
max 23, min 6, split 18, vert True 
max 32, min 6, split 9, vert False 
max 65, min 6, split 26, vert True 
max 65, min 6, split 13, vert True 
max 39, min 6, split 14, vert False 
max 55, min 6, split 9, vert True 
max 39, min 6, split 11, vert False 
max 39, min 6, split 10, vert False 
max 49, min 6, split 31, vert False 
max 42, min 6, split 31, vert True 
max 33, min 6, split 20, vert True 
max 33, min 6, split 18, vert True 
max 29, min 6, split 11, vert False 
max 29, min 6, split 19, vert False 
max 29, min 6, split 10, vert False 
max 38, min 6, split 33, vert True 
max 23, min 6, split 6, vert True 
max 23, min 6, split 9, vert True 
max 50, min 6, split 38, vert True 
max 9, min 6, split 8, vert True 
max 18, min 6, split 9, vert True 
max 19, min 6, split 18, vert False 
max 16, min 6, split 10, vert False 
max 16, min 6, split 13, vert False 
max 20, min 6, split 9, vert True 
max 41, min 6, split 26, vert False 
max 27, min 6, split 20, vert False 
max 5, min 6, split 6, vert True 
max 15, min 6, split 10, vert True 
max 22, min 6, split 6, vert True 
max 45, min 6, split 12, vert True 
max 45, min 6, split 38, vert True 
max 72, min 6, split 62, vert True 
max 72, min 6, split 8, vert True 
max 21, min 6, split 17, vert False 
max 39, min 6, split 10, vert False 
max 8, min 6, split 7, vert True 
max 26, min 6, split 12, vert False 
max 20, min 6, split 19, vert True 
max 41, min 6, split 31, vert False 
max 38, min 6, split 13, vert False 
max 42, min 6, split 17, vert True 
max 17, min 6, split 7, vert True 
max 31, min 6, split 29, vert True 
max 28, min 6, split 17, vert False 
max 28, min 6, split 7, vert False 
max 7, min 6, split 6, vert False 
max 16, min 6, split 10, vert False 
max 54, min 6, split 12, vert True 
max 19, min 6, split 14, vert False 
max 52, min 6, split 9, vert True 
max 6, min 6, split 6, vert False 
max 4, min 6, split 6, vert True 
max 2, min 6, split 3, vert False 
max 39, min 6, split 21, vert False 
max 39, min 6, split 14, vert False 
max 30, min 6, split 18, vert True 
max 39, min 6, split 12, vert False 
max 22, min 6, split 10, vert True 
max 37, min 6, split 15, vert True 
max 10, min 6, split 9, vert True 
max 41, min 6, split 27, vert False 
max 17, min 6, split 8, vert False 
max 7, min 6, split 6, vert True 
max 2, min 6, split 6, vert False 
max 18, min 6, split 15, vert True 
max 22, min 6, split 8, vert False 
max 2, min 6, split 3, vert True 
max 19, min 6, split 18, vert False 
max 40, min 6, split 37, vert True 
max 16, min 6, split 12, vert True 
max 39, min 6, split 11, vert True 
max 17, min 6, split 15, vert True 
max 12, min 6, split 7, vert False 
max 12, min 6, split 8, vert False 
max 38, min 6, split 37, vert True 
max 1, min 6, split 3, vert True 
max 5, min 6, split 6, vert False 
max 5, min 6, split 6, vert False 
max 13, min 6, split 10, vert True 
max 13, min 6, split 11, vert True 
max 23, min 6, split 20, vert True 
max 2, min 6, split 4, vert True 
max 34, min 6, split 21, vert True 
max 24, min 6, split 14, vert True 
max 12, min 6, split 6, vert True 
max 12, min 6, split 8, vert True 
max 30, min 6, split 23, vert False 
max 5, min 6, split 6, vert False 
max 34, min 6, split 28, vert False 
max 12, min 6, split 10, vert True 
max 32, min 6, split 22, vert False 
max 12, min 6, split 9, vert True 
max 46, min 6, split 14, vert False 
max 16, min 6, split 13, vert False 
max 29, min 6, split 16, vert False 
max 59, min 6, split 50, vert False 
max 94, min 6, split 87, vert False 
max 48, min 6, split 24, vert True 
max 11, min 6, split 9, vert True 
max 36, min 6, split 28, vert True 
max 10, min 6, split 9, vert False 
max 26, min 6, split 13, vert True 
max 31, min 6, split 25, vert False 
max 31, min 6, split 18, vert False 
max 31, min 6, split 26, vert False 
max 31, min 6, split 6, vert False 
max 0, min 6, split 6, vert False 
max 35, min 6, split 32, vert False 
max 41, min 6, split 18, vert False 
max 39, min 6, split 7, vert True 
max 34, min 6, split 24, vert True 
max 34, min 6, split 26, vert True 
max 13, min 6, split 11, vert False 
max 9, min 6, split 6, vert True 
max 71, min 6, split 54, vert True 
max 71, min 6, split 58, vert True 
max 10, min 6, split 9, vert True 
max 13, min 6, split 6, vert False 
max 0, min 6, split 2, vert False 
max 25, min 6, split 16, vert False 
max 10, min 6, split 8, vert False 
max 41, min 6, split 27, vert True 
max 33, min 6, split 22, vert False 
max 33, min 6, split 9, vert False 
max 23, min 6, split 17, vert False 
max 15, min 6, split 10, vert True 
max 11, min 6, split 10, vert True 
max 36, min 6, split 19, vert False 
max 12, min 6, split 8, vert False 
max 12, min 6, split 8, vert False 
max 11, min 6, split 9, vert False 
max 11, min 6, split 8, vert False 
max 18, min 6, split 9, vert True 
max 18, min 6, split 7, vert True 
max 29, min 6, split 26, vert False 
max 24, min 6, split 17, vert True 
max 8, min 6, split 7, vert True 
max 7, min 6, split 6, vert True 
max 23, min 6, split 19, vert True 
max 31, min 6, split 14, vert True 
max 15, min 6, split 8, vert False 
max 13, min 6, split 7, vert True 
max 1, min 6, split 2, vert True 
max 21, min 6, split 10, vert True 
max 41, min 6, split 14, vert False 
max 41, min 6, split 22, vert False 
max 5, min 6, split 6, vert True 
max 29, min 6, split 6, vert False 
max 0, min 6, split 2, vert True 
max 5, min 6, split 6, vert False 
max 20, min 6, split 19, vert False 
max 38, min 6, split 33, vert True 
max 38, min 6, split 32, vert True 
max 39, min 6, split 33, vert True 
max 39, min 6, split 34, vert True 
max 38, min 6, split 11, vert False 
max 22, min 6, split 7, vert True 
max 35, min 6, split 31, vert True 
max 38, min 6, split 29, vert False 
max 35, min 6, split 15, vert True 
max 22, min 6, split 13, vert False 
max 22, min 6, split 6, vert False 
max 22, min 6, split 16, vert False 
max 34, min 6, split 14, vert False 
max 34, min 6, split 14, vert False 
max 9, min 6, split 7, vert True 
max 1, min 6, split 5, vert True 
max 26, min 6, split 9, vert False 
max 26, min 6, split 8, vert False 
max 6, min 6, split 6, vert False 
max 12, min 6, split 11, vert True 
max 15, min 6, split 14, vert False 
max 3, min 6, split 6, vert True 
max 6, min 6, split 6, vert False 
max 19, min 6, split 13, vert False 
max 19, min 6, split 16, vert False 
max 24, min 6, split 12, vert True 
max 15, min 6, split 7, vert True 
max 13, min 6, split 12, vert True 
max 16, min 6, split 15, vert False 
max 16, min 6, split 15, vert False 
max 4, min 6, split 6, vert True 
max 4, min 6, split 5, vert True 
max 40, min 6, split 39, vert True 
max 12, min 6, split 6, vert True 
max 21, min 6, split 11, vert False 
max 21, min 6, split 17, vert False 
max 40, min 6, split 11, vert True 
max 40, min 6, split 34, vert True 
max 4, min 6, split 6, vert True 
max 4, min 6, split 5, vert True 
max 4, min 6, split 5, vert True 
max 19, min 6, split 16, vert True 
max 31, min 6, split 24, vert False 
max 31, min 6, split 7, vert False 
max 24, min 6, split 20, vert True 
max 19, min 6, split 14, vert False 
max 19, min 6, split 6, vert True 
max 19, min 6, split 6, vert True 
max 42, min 6, split 41, vert True 
max 42, min 6, split 15, vert True 
max 2, min 6, split 4, vert True 
max 37, min 6, split 28, vert False 
max 27, min 6, split 10, vert False 
max 14, min 6, split 10, vert True 
max 25, min 6, split 14, vert True 
max 25, min 6, split 7, vert True 
max 23, min 6, split 17, vert False 
max 7, min 6, split 6, vert True 
max 20, min 6, split 14, vert False 
max 20, min 6, split 8, vert False 
max 19, min 6, split 16, vert False 
max 19, min 6, split 13, vert False 
max 29, min 6, split 17, vert False 
max 29, min 6, split 10, vert False 
max 30, min 6, split 14, vert True 
max 30, min 6, split 27, vert True 
max 6, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 2, min 6, split 4, vert True 
max 3, min 6, split 4, vert False 
max 19, min 6, split 7, vert True 
max 19, min 6, split 6, vert True 
max 16, min 6, split 9, vert True 
max 16, min 6, split 9, vert True 
max 2, min 6, split 5, vert False 
max 31, min 6, split 28, vert True 
max 5, min 6, split 6, vert True 
max 25, min 6, split 11, vert True 
max 7, min 6, split 6, vert False 
max 21, min 6, split 17, vert True 
max 1, min 6, split 2, vert True 
max 3, min 6, split 5, vert True 
max 1, min 6, split 5, vert False 
max 9, min 6, split 7, vert True 
max 22, min 6, split 10, vert False 
max 2, min 6, split 6, vert False 
max 8, min 6, split 6, vert False 
max 10, min 6, split 7, vert False 
max 23, min 6, split 10, vert False 
max 14, min 6, split 13, vert True 
max 14, min 6, split 12, vert True 
max 41, min 6, split 22, vert False 
max 41, min 6, split 39, vert False 
max 47, min 6, split 37, vert False 
max 78, min 6, split 17, vert True 
max 17, min 6, split 13, vert True 
max 40, min 6, split 6, vert False 
max 47, min 6, split 37, vert False 
max 47, min 6, split 42, vert False 
max 41, min 6, split 29, vert False 
max 70, min 6, split 17, vert True 
max 3, min 6, split 5, vert True 
max 35, min 6, split 10, vert False 
max 17, min 6, split 8, vert True 
max 18, min 6, split 7, vert True 
max 39, min 6, split 16, vert False 
max 39, min 6, split 27, vert False 
max 51, min 6, split 23, vert True 
max 37, min 6, split 9, vert True 
max 18, min 6, split 8, vert True 
max 70, min 6, split 24, vert True 
max 38, min 6, split 13, vert True 
max 38, min 6, split 6, vert True 
max 29, min 6, split 16, vert False 
max 41, min 6, split 35, vert True 
max 28, min 6, split 11, vert True 
max 28, min 6, split 15, vert True 
max 45, min 6, split 26, vert True 
max 12, min 6, split 8, vert False 
max 17, min 6, split 12, vert True 
max 32, min 6, split 18, vert False 
max 17, min 6, split 10, vert False 
max 19, min 6, split 12, vert True 
max 11, min 6, split 7, vert False 
max 28, min 6, split 11, vert True 
max 46, min 6, split 43, vert True 
max 46, min 6, split 35, vert True 
max 17, min 6, split 10, vert True 
max 7, min 6, split 6, vert False 
max 9, min 6, split 8, vert True 
max 56, min 6, split 10, vert True 
max 66, min 6, split 64, vert False 
max 66, min 6, split 49, vert False 
max 66, min 6, split 16, vert False 
max 66, min 6, split 60, vert False 
max 12, min 6, split 9, vert False 
max 19, min 6, split 11, vert True 
max 17, min 6, split 6, vert False 
max 34, min 6, split 32, vert True 
max 29, min 6, split 13, vert True 
max 19, min 6, split 9, vert True 
max 39, min 6, split 18, vert True 
max 33, min 6, split 18, vert False 
max 7, min 6, split 6, vert True 
max 19, min 6, split 18, vert False 
max 25, min 6, split 20, vert False 
max 47, min 6, split 38, vert True 
max 47, min 6, split 33, vert True 
max 32, min 6, split 19, vert False 
max 12, min 6, split 7, vert True 
max 4, min 6, split 6, vert True 
max 4, min 6, split 5, vert True 
max 14, min 6, split 9, vert False 
max 14, min 6, split 12, vert False 
max 31, min 6, split 6, vert True 
max 39, min 6, split 20, vert False 
max 27, min 6, split 18, vert True 
max 42, min 6, split 16, vert False 
max 42, min 6, split 24, vert False 
max 65, min 6, split 56, vert True 
max 11, min 6, split 8, vert False 
max 11, min 6, split 6, vert False 
max 7, min 6, split 6, vert True 
max 20, min 6, split 14, vert False 
max 16, min 6, split 8, vert False 
max 16, min 6, split 7, vert True 
max 15, min 6, split 14, vert False 
max 4, min 6, split 6, vert True 
max 22, min 6, split 8, vert False 
max 5, min 6, split 6, vert True 
max 29, min 6, split 14, vert False 
max 32, min 6, split 13, vert True 
max 27, min 6, split 7, vert True 
max 27, min 6, split 11, vert True 
max 25, min 6, split 6, vert True 
max 0, min 6, split 2, vert False 
max 6, min 6, split 6, vert False 
max 28, min 6, split 8, vert False 
max 28, min 6, split 17, vert False 
max 6, min 6, split 6, vert True 
max 1, min 6, split 2, vert False 
max 7, min 6, split 6, vert False 
max 7, min 6, split 6, vert False 
max 21, min 6, split 7, vert False 
max 5, min 6, split 6, vert True 
max 34, min 6, split 13, vert False 
max 8, min 6, split 7, vert True 
max 2, min 6, split 4, vert False 
max 33, min 6, split 10, vert False 
max 14, min 6, split 8, vert True 
max 33, min 6, split 17, vert False 
max 12, min 6, split 10, vert True 
max 43, min 6, split 23, vert False 
max 12, min 6, split 11, vert True 
max 12, min 6, split 8, vert True 
max 47, min 6, split 30, vert False 
max 41, min 6, split 34, vert False 
max 94, min 6, split 45, vert False 
max 94, min 6, split 93, vert False 
max 18, min 6, split 13, vert True 
max 18, min 6, split 9, vert True 
max 61, min 6, split 14, vert True 
max 31, min 6, split 17, vert False 
max 16, min 6, split 14, vert True 
max 31, min 6, split 20, vert False 
max 31, min 6, split 15, vert False 
max 23, min 6, split 18, vert True 
max 23, min 6, split 6, vert True 
max 25, min 6, split 18, vert True 
max 25, min 6, split 9, vert True 
max 2, min 6, split 5, vert True 
max 31, min 6, split 9, vert False 
max 14, min 6, split 9, vert False 
max 21, min 6, split 6, vert False 
max 1, min 6, split 6, vert True 
max 28, min 6, split 25, vert False 
max 39, min 6, split 9, vert False 
max 39, min 6, split 35, vert False 
max 1, min 6, split 6, vert True 
max 41, min 6, split 9, vert True 
max 41, min 6, split 27, vert True 
max 9, min 6, split 7, vert True 
max 43, min 6, split 19, vert False 
max 6, min 6, split 6, vert False 
max 37, min 6, split 15, vert False 
max 16, min 6, split 12, vert False 
max 14, min 6, split 10, vert True 
max 10, min 6, split 9, vert True 
max 7, min 6, split 6, vert False 
max 26, min 6, split 14, vert True 
max 26, min 6, split 13, vert True 
max 40, min 6, split 21, vert True 
max 16, min 6, split 10, vert True 
max 20, min 6, split 19, vert False 
max 16, min 6, split 10, vert True 
max 18, min 6, split 7, vert True 
max 18, min 6, split 11, vert True 
max 16, min 6, split 13, vert True 
max 16, min 6, split 15, vert True 
max 18, min 6, split 6, vert True 
max 18, min 6, split 10, vert True 
max 17, min 6, split 9, vert True 
max 31, min 6, split 21, vert False 
max 12, min 6, split 6, vert False 
max 13, min 6, split 8, vert False 
max 14, min 6, split 13, vert True 
max 19, min 6, split 14, vert True 
max 2, min 6, split 6, vert False 
max 16, min 6, split 9, vert True 
max 33, min 6, split 22, vert False 
max 12, min 6, split 8, vert False 
max 7, min 6, split 6, vert True 
max 32, min 6, split 15, vert True 
max 33, min 6, split 30, vert True 
max 6, min 6, split 6, vert True 
max 6, min 6, split 6, vert False 
max 57, min 6, split 9, vert True 
max 57, min 6, split 14, vert True 
max 38, min 6, split 9, vert False 
max 38, min 6, split 32, vert False 
max 22, min 6, split 15, vert False 
max 58, min 6, split 41, vert True 
max 22, min 6, split 16, vert False 
max 16, min 6, split 14, vert True 
max 8, min 6, split 7, vert True 
max 14, min 6, split 10, vert False 
max 16, min 6, split 8, vert True 
max 20, min 6, split 9, vert False 
max 12, min 6, split 7, vert True 
max 32, min 6, split 28, vert False 
max 3, min 6, split 6, vert False 
max 3, min 6, split 6, vert True 
max 3, min 6, split 5, vert True 
max 16, min 6, split 9, vert False 
max 47, min 6, split 22, vert False 
max 47, min 6, split 31, vert False 
max 36, min 6, split 29, vert False 
max 5, min 6, split 6, vert False 
max 13, min 6, split 12, vert True 
max 15, min 6, split 8, vert False 
max 3, min 6, split 5, vert False 
max 5, min 6, split 6, vert True 
max 9, min 6, split 8, vert False 
max 0, min 6, split 2, vert False 
max 4, min 6, split 5, vert True 
max 14, min 6, split 9, vert False 
max 14, min 6, split 12, vert False 
max 24, min 6, split 11, vert True 
max 36, min 6, split 32, vert True 
max 36, min 6, split 31, vert True 
max 23, min 6, split 13, vert True 
max 23, min 6, split 6, vert True 
max 4, min 6, split 6, vert True 
max 6, min 6, split 6, vert False 
max 29, min 6, split 18, vert True 
max 29, min 6, split 21, vert True 
max 4, min 6, split 6, vert False 
max 21, min 6, split 15, vert True 
max 39, min 6, split 9, vert False 
max 39, min 6, split 19, vert False 
max 19, min 6, split 18, vert True 
max 19, min 6, split 8, vert True 
max 43, min 6, split 12, vert True 
max 27, min 6, split 23, vert False 
max 32, min 6, split 29, vert True 
max 12, min 6, split 8, vert True 
max 17, min 6, split 11, vert True 
max 43, min 6, split 39, vert False 
max 43, min 6, split 16, vert False 
max 7, min 6, split 6, vert True 
max 11, min 6, split 8, vert False 
max 9, min 6, split 8, vert False 
max 3, min 6, split 5, vert True 
max 14, min 6, split 11, vert False 
max 3, min 6, split 4, vert True 
max 0, min 6, split 1, vert False 
max 23, min 6, split 22, vert False 
max 23, min 6, split 11, vert False 
max 6, min 6, split 6, vert True 
max 12, min 6, split 9, vert False 
max 29, min 6, split 14, vert False 
max 21, min 6, split 7, vert True 
max 6, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 12, min 6, split 6, vert True 
max 12, min 6, split 7, vert True 
max 3, min 6, split 6, vert True 
max 3, min 6, split 6, vert True 
max 22, min 6, split 10, vert True 
max 22, min 6, split 18, vert True 
max 1, min 6, split 3, vert True 
max 1, min 6, split 6, vert True 
max 3, min 6, split 4, vert True 
max 3, min 6, split 4, vert True 
max 12, min 6, split 9, vert False 
max 12, min 6, split 6, vert False 
max 24, min 6, split 9, vert True 
max 12, min 6, split 7, vert True 
max 3, min 6, split 4, vert False 
max 3, min 6, split 4, vert False 
max 6, min 6, split 6, vert True 
max 7, min 6, split 6, vert False 
max 7, min 6, split 6, vert False 
max 7, min 6, split 6, vert True 
max 7, min 6, split 6, vert True 
max 3, min 6, split 4, vert True 
max 1, min 6, split 4, vert False 
max 6, min 6, split 6, vert True 
max 21, min 6, split 17, vert False 
max 12, min 6, split 9, vert False 
max 11, min 6, split 6, vert False 
max 8, min 6, split 7, vert False 
max 10, min 6, split 8, vert False 
max 25, min 6, split 23, vert False 
max 25, min 6, split 22, vert False 
max 14, min 6, split 6, vert True 
max 14, min 6, split 8, vert True 
max 36, min 6, split 18, vert True 
max 31, min 6, split 26, vert True 
max 15, min 6, split 8, vert True 
max 15, min 6, split 9, vert True 
max 51, min 6, split 14, vert False 
max 26, min 6, split 23, vert True 
max 61, min 6, split 7, vert False 
max 46, min 6, split 22, vert True 
max 27, min 6, split 16, vert False 
max 14, min 6, split 8, vert False 
max 47, min 6, split 27, vert False 
max 47, min 6, split 40, vert False 
max 9, min 6, split 6, vert True 
max 43, min 6, split 19, vert True 
max 20, min 6, split 8, vert True 
max 19, min 6, split 9, vert False 
max 14, min 6, split 12, vert True 
max 18, min 6, split 17, vert False 
max 3, min 6, split 6, vert True 
max 30, min 6, split 9, vert False 
max 65, min 6, split 24, vert True 
max 65, min 6, split 20, vert True 
max 39, min 6, split 17, vert True 
max 20, min 6, split 19, vert True 
max 4, min 6, split 5, vert False 
max 29, min 6, split 27, vert False 
max 59, min 6, split 30, vert True 
max 28, min 6, split 24, vert False 
max 3, min 6, split 5, vert False 
max 30, min 6, split 13, vert False 
max 14, min 6, split 6, vert True 
max 14, min 6, split 10, vert True 
max 55, min 6, split 37, vert True 
max 55, min 6, split 15, vert True 
max 1, min 6, split 6, vert True 
max 48, min 6, split 9, vert True 
max 32, min 6, split 13, vert False 
max 32, min 6, split 23, vert False 
max 12, min 6, split 6, vert True 
max 11, min 6, split 10, vert False 
max 14, min 6, split 10, vert False 
max 29, min 6, split 11, vert False 
max 29, min 6, split 24, vert False 
max 29, min 6, split 25, vert False 
max 29, min 6, split 15, vert False 
max 6, min 6, split 6, vert False 
max 17, min 6, split 8, vert False 
max 12, min 6, split 9, vert True 
max 12, min 6, split 7, vert True 
max 3, min 6, split 4, vert False 
max 24, min 6, split 11, vert True 
max 24, min 6, split 16, vert True 
max 12, min 6, split 7, vert False 
max 7, min 6, split 6, vert True 
max 33, min 6, split 12, vert True 
max 3, min 6, split 6, vert True 
max 23, min 6, split 13, vert True 
max 4, min 6, split 6, vert False 
max 6, min 6, split 6, vert True 
max 30, min 6, split 12, vert True 
max 30, min 6, split 20, vert True 
max 14, min 6, split 13, vert True 
max 15, min 6, split 8, vert True 
max 33, min 6, split 24, vert False 
max 19, min 6, split 6, vert True 
max 5, min 6, split 6, vert True 
max 15, min 6, split 13, vert False 
max 11, min 6, split 8, vert True 
max 26, min 6, split 18, vert True 
max 34, min 6, split 13, vert True 
max 3, min 6, split 4, vert True 
max 36, min 6, split 6, vert True 
max 3, min 6, split 5, vert True 
max 20, min 6, split 6, vert True 
max 19, min 6, split 10, vert True 
max 66, min 6, split 32, vert False 
max 66, min 6, split 11, vert False 
max 25, min 6, split 22, vert True 
max 25, min 6, split 21, vert True 
max 9, min 6, split 8, vert True 
max 18, min 6, split 11, vert False 
max 19, min 6, split 15, vert False 
max 16, min 6, split 15, vert True 
max 7, min 6, split 6, vert False 
max 4, min 6, split 5, vert False 
max 8, min 6, split 7, vert True 
max 17, min 6, split 9, vert False 
max 27, min 6, split 6, vert False 
max 27, min 6, split 21, vert False 
max 14, min 6, split 13, vert False 
max 11, min 6, split 9, vert True 
max 34, min 6, split 23, vert True 
max 14, min 6, split 8, vert True 
max 32, min 6, split 6, vert False 
max 32, min 6, split 19, vert False 
max 15, min 6, split 11, vert True 
max 5, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 8, min 6, split 7, vert False 
max 11, min 6, split 9, vert True 
max 22, min 6, split 15, vert False 
max 16, min 6, split 11, vert True 
max 16, min 6, split 8, vert True 
max 18, min 6, split 11, vert True 
max 29, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 19, min 6, split 13, vert False 
max 19, min 6, split 10, vert False 
max 9, min 6, split 6, vert True 
max 35, min 6, split 27, vert True 
max 13, min 6, split 10, vert True 
max 13, min 6, split 6, vert True 
max 30, min 6, split 16, vert False 
max 28, min 6, split 26, vert False 
max 13, min 6, split 12, vert True 
max 34, min 6, split 27, vert True 
max 8, min 6, split 6, vert True 
max 44, min 6, split 20, vert True 
max 15, min 6, split 11, vert True 
max 25, min 6, split 15, vert False 
max 25, min 6, split 7, vert False 
max 10, min 6, split 6, vert True 
max 10, min 6, split 9, vert True 
max 18, min 6, split 7, vert False 
max 18, min 6, split 7, vert False 
max 15, min 6, split 7, vert False 
max 15, min 6, split 8, vert False 
max 0, min 6, split 2, vert True 
max 5, min 6, split 6, vert False 
max 1, min 6, split 5, vert True 
max 10, min 6, split 6, vert False 
max 7, min 6, split 6, vert False 
max 18, min 6, split 11, vert True 
max 18, min 6, split 7, vert True 
max 18, min 6, split 16, vert True 
max 10, min 6, split 8, vert False 
max 2, min 6, split 6, vert True 
max 37, min 6, split 21, vert True 
max 11, min 6, split 8, vert True 
max 0, min 6, split 1, vert False 
max 2, min 6, split 5, vert True 
max 11, min 6, split 7, vert False 
max 10, min 6, split 8, vert True 
max 31, min 6, split 10, vert True 
max 4, min 6, split 6, vert False 
max 3, min 6, split 4, vert True 
max 32, min 6, split 31, vert True 
max 4, min 6, split 5, vert True 
max 5, min 6, split 6, vert True 
max 5, min 6, split 6, vert True 
max 0, min 6, split 2, vert False 
max 6, min 6, split 6, vert False 
max 18, min 6, split 8, vert True 
max 18, min 6, split 10, vert True 
max 21, min 6, split 14, vert True 
max 15, min 6, split 12, vert True 
max 3, min 6, split 6, vert False 
max 9, min 6, split 8, vert True 
max 7, min 6, split 6, vert False 
max 7, min 6, split 6, vert False 
max 9, min 6, split 6, vert True 
max 7, min 6, split 6, vert False 
max 1, min 6, split 2, vert True 
max 12, min 6, split 8, vert True 
max 12, min 6, split 10, vert True 
max 17, min 6, split 10, vert False 
max 1, min 6, split 5, vert True 
max 8, min 6, split 6, vert False 
max 15, min 6, split 11, vert False 
max 6, min 6, split 6, vert True 
max 3, min 6, split 6, vert True 
max 13, min 6, split 10, vert False 
max 13, min 6, split 11, vert False 
max 7, min 6, split 6, vert False 
max 6, min 6, split 6, vert True 
max 6, min 6, split 6, vert True 
max 48, min 6, split 7, vert False 
max 39, min 6, split 29, vert False 
max 7, min 6, split 6, vert True 
max 23, min 6, split 18, vert False 
